M5 Raw CSV Pipeline Run — 2026-03-22T21:51:24.848918
============================================================
Running data cleaning pipeline...
  Cleaned calendar: 1,969 rows
  Cleaned sales: 3,049 rows
  Cleaned prices: 6,841,121 rows

Step 1: Loaded 4,702,895 records, 3049 SKUs
  Date range: 2011-01-29 → 2016-04-24

Step 2: Feature engineering → 4,702,895 records, 14 features

Step 3: Trained 3049/3049 models
  CA_1_FOODS_1_001: MAE=0.81, RMSE=1.02, R²=-0.021
  CA_1_FOODS_1_002: MAE=0.62, RMSE=0.74, R²=-0.013
  CA_1_FOODS_1_003: MAE=0.88, RMSE=1.20, R²=-0.007
  CA_1_FOODS_1_004: MAE=4.30, RMSE=5.57, R²=0.453
  CA_1_FOODS_1_005: MAE=1.10, RMSE=1.82, R²=0.014
  CA_1_FOODS_1_006: MAE=1.48, RMSE=1.94, R²=-0.018
  CA_1_FOODS_1_008: MAE=0.52, RMSE=0.77, R²=0.024
  CA_1_FOODS_1_009: MAE=0.82, RMSE=1.28, R²=0.079
  CA_1_FOODS_1_010: MAE=0.39, RMSE=0.69, R²=-0.002
  CA_1_FOODS_1_011: MAE=0.92, RMSE=1.37, R²=0.033
  CA_1_FOODS_1_012: MAE=1.97, RMSE=2.45, R²=0.010
  CA_1_FOODS_1_013: MAE=1.43, RMSE=1.89, R²=-0.024
  CA_1_FOODS_1_014: MAE=1.09, RMSE=1.73, R²=0.006
  CA_1_FOODS_1_015: MAE=0.53, RMSE=0.75, R²=0.150
  CA_1_FOODS_1_016: MAE=1.03, RMSE=1.20, R²=-0.192
  CA_1_FOODS_1_017: MAE=0.78, RMSE=1.09, R²=0.017
  CA_1_FOODS_1_018: MAE=4.10, RMSE=5.19, R²=0.091
  CA_1_FOODS_1_019: MAE=2.19, RMSE=3.81, R²=0.335
  CA_1_FOODS_1_020: MAE=0.76, RMSE=1.07, R²=0.178
  CA_1_FOODS_1_021: MAE=4.21, RMSE=5.00, R²=-0.485
  CA_1_FOODS_1_022: MAE=0.16, RMSE=0.22, R²=-0.179
  CA_1_FOODS_1_023: MAE=0.77, RMSE=1.35, R²=0.242
  CA_1_FOODS_1_024: MAE=0.90, RMSE=1.11, R²=-0.080
  CA_1_FOODS_1_025: MAE=0.69, RMSE=0.81, R²=-0.055
  CA_1_FOODS_1_026: MAE=0.76, RMSE=1.03, R²=-0.004
  CA_1_FOODS_1_027: MAE=0.54, RMSE=0.93, R²=0.496
  CA_1_FOODS_1_028: MAE=0.42, RMSE=0.81, R²=0.197
  CA_1_FOODS_1_029: MAE=0.38, RMSE=0.55, R²=0.027
  CA_1_FOODS_1_030: MAE=0.53, RMSE=0.84, R²=0.164
  CA_1_FOODS_1_031: MAE=1.12, RMSE=1.59, R²=-0.001
  CA_1_FOODS_1_032: MAE=5.39, RMSE=6.34, R²=-3.743
  CA_1_FOODS_1_033: MAE=1.00, RMSE=1.50, R²=-0.098
  CA_1_FOODS_1_034: MAE=0.54, RMSE=0.78, R²=-0.034
  CA_1_FOODS_1_035: MAE=1.16, RMSE=2.56, R²=0.022
  CA_1_FOODS_1_036: MAE=1.44, RMSE=1.97, R²=0.229
  CA_1_FOODS_1_037: MAE=1.01, RMSE=1.52, R²=0.081
  CA_1_FOODS_1_038: MAE=0.57, RMSE=0.68, R²=0.031
  CA_1_FOODS_1_039: MAE=0.86, RMSE=1.28, R²=0.026
  CA_1_FOODS_1_040: MAE=1.99, RMSE=2.56, R²=0.089
  CA_1_FOODS_1_041: MAE=1.02, RMSE=1.40, R²=0.112
  CA_1_FOODS_1_042: MAE=2.89, RMSE=3.88, R²=-0.003
